iter	Passed	Remaining
1140	10957	469197
1141	10967	469224
1142	10977	469219
1143	10988	469287
1144	10996	469215
1145	11006	469188
1146	11015	469154
1147	11023	469096
1148	11031	469036
1149	11042	469065
1150	11053	469124
1151	11062	469097
1152	11071	469032
1153	11080	469011
1154	11089	468959
1155	11098	468955
1156	11108	468954
1157	11117	468925
1158	11126	468868
1159	11134	468815
1160	11143	468773
1161	11151	468708
1162	11160	468645
1163	11168	468598
1164	11178	468578
1165	11187	468566
1166	11196	468536
1167	11205	468479
1168	11214	468445
1169	11223	468415
1170	11234	468451
1171	11243	468419
1172	11252	468377
1173	11260	468333
1174	11268	468260
1175	11280	468319
1176	11290	468331
1177	11300	468327
1178	11309	468302
1179	11319	468305
1180	11328	468287
1181	11337	468238
1182	11345	468170
1183	11353	468117
1184	11362	468061
1185	11378	468306
1186	11386	468250
1187	11394	468192
1188	11404	468190
1189	11414	468188
1190	11424	468177
1191	11432	468113
1192	11441	468078
1193	11450	468069
1194	11460	468048
1195	11469	468016
1196	11478	468000
1197	11487	467965
1198	11497	467944
1199	11506	467935
1200	11515	467904
1201	11525	467900
1202	11534	467860
1203	11543	467821
1204	11553	467828
1205	11562	467813
1206	11570	467747
1207	11582	467817
1208	11590	467752
1209	11598	467693
1210	11607	467625
1211	11616	467601
1212	11625	467566
1213	11633	467507
1214	11642	467459
1215	11650	467416
1216	11660	467410
1217	11669	467355
1218	11677	467320
1219	11686	467271
1220	11711	467892
1221	11721	467869
1222	11729	467812
1223	11738	467772
1224	11746	467713
1225	11755	467661
1226	11766	467725
1227	11776	467713
1228	11784	467669
1229	11794	467649
1230	11803	467625
1231	11813	467636
1232	11823	467629
1233	11833	467647
1234	11842	467591
1235	11851	467572
1236	11859	467516
1237	11869	467504
1238	11877	467426
1239	11886	467397
1240	11894	467348
1241	11904	467338
1242	11912	467275
1243	11922	467290
1244	11932	467268
1245	11941	467238
1246	11953	467350
1247	11962	467299
1248	11971	467261
1249	11981	467267
1250	11989	467202
1251	11997	467133
1252	12005	467080
1253	12014	467046
1254	12023	466983
1255	12031	466939
1256	12039	466863
1257	12048	466824
1258	12057	466789
1259	12065	466719
1260	12074	466682
1261	12083	466666
1262	12095	466750
1263	12106	466793
1264	12116	466778
1265	12125	466761
1266	12133	466705
1267	12142	466668
1268	12152	466686
1269	12161	466647
1270	12171	466630
1271	12180	466619
